mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessing,param_regressor,param_regressor__max_depth,param_regressor__min_samples_split,param_regressor__n_neighbors,param_regressor__p,param_regressor__weights,param_regressor__activation,param_regressor__alpha,param_regressor__hidden_layer_sizes,param_regressor__max_iter,params,split0_test_RMSLE,split1_test_RMSLE,split2_test_RMSLE,split3_test_RMSLE,mean_test_RMSLE,std_test_RMSLE,rank_test_RMSLE,split0_test_R-squared,split1_test_R-squared,split2_test_R-squared,split3_test_R-squared,mean_test_R-squared,std_test_R-squared,rank_test_R-squared,features_transform,target_transform
2.0474588871002197,0.019695605260359822,0.040969133377075195,0.004353304072870886,MinMaxScaler(),RandomForestRegressor(),5,2,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 2}",-0.5480003423552091,-0.5437858531533865,-0.5582673043268803,-0.5501781120363595,-0.5500579029679589,0.005267373288547246,150,0.6590788041322169,0.6471663575241761,0.6449746106452263,0.6542754094100723,0.6513737954279228,0.005622246491208651,184,cycles,log
1.7977285981178284,0.00804192114794829,0.04026675224304199,0.00460730653340333,MinMaxScaler(),RandomForestRegressor(),5,4,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 4}",-0.5446249354262845,-0.5439196873366252,-0.5550256183355711,-0.5491097310157429,-0.548169993028556,0.004430441222751676,147,0.6629656715325398,0.647778512143375,0.6478295063708412,0.6582849771750672,0.6542146668054558,0.006620835877145805,180,cycles,log
1.824311077594757,0.014377780327995356,0.04163920879364014,0.003618592533395878,MinMaxScaler(),RandomForestRegressor(),5,7,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 7}",-0.5516540565308763,-0.5445082836596479,-0.5583121390146567,-0.5533908324368282,-0.5519663279105023,0.004950213863495409,155,0.6543497179664962,0.6465384769734243,0.6432077869357729,0.653187340299219,0.6493208305437281,0.004619264009101628,188,cycles,log
2.2415835857391357,0.03302086396448884,0.04074573516845703,0.003775487111031482,MinMaxScaler(),RandomForestRegressor(),5,10,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 10}",-0.549195366142006,-0.5459945558536509,-0.5539187694508685,-0.5513727422844231,-0.5501203584327371,0.0029100794333717234,151,0.6557338626963363,0.6424292921344842,0.6486910440191329,0.6554446815002763,0.6505747200875573,0.005482460868272358,187,cycles,log
2.139450967311859,0.008208973402630198,0.042520105838775635,0.003992353347543638,MinMaxScaler(),RandomForestRegressor(),5,15,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 15}",-0.5487527544292667,-0.5478721458708199,-0.560652953659641,-0.5541299636654958,-0.5528519544063059,0.00510124569392042,157,0.654796460109407,0.6444891750608247,0.6395326046308689,0.655868930495529,0.6486717925741574,0.006897995944514817,189,cycles,log
1.8080862164497375,0.01783188008098117,0.03642106056213379,0.0017005854838903964,MinMaxScaler(),RandomForestRegressor(),5,20,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 20}",-0.5437511751181977,-0.5454223309060822,-0.5599255706955626,-0.5503533661364353,-0.5498631107140695,0.006296223735093555,149,0.6628073597755424,0.6445759236925482,0.6430933962160519,0.6546142875859293,0.6512727418175179,0.007999412588232856,185,cycles,log
1.8127795457839966,0.01225443374521241,0.04411953687667847,0.005191888405959163,MinMaxScaler(),RandomForestRegressor(),5,30,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 30}",-0.5461432529078475,-0.5431185928839392,-0.5594352921953181,-0.552886659024484,-0.5503959492528971,0.006303941186293404,152,0.662197522918059,0.6482185280755723,0.6428191134811945,0.6524356620111025,0.6514177066214821,0.007095971038624891,183,cycles,log
1.7857689261436462,0.02120994224433278,0.03478974103927612,0.001906105935871049,MinMaxScaler(),RandomForestRegressor(),5,40,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 40}",-0.5442235715967808,-0.5491828937710337,-0.5598951216540371,-0.5485760906743384,-0.5504694194240475,0.005768325572038658,153,0.665297799428027,0.6415087481482106,0.6423991506408833,0.6547046012510369,0.6509775748670394,0.009775065201563057,186,cycles,log
1.7095208168029785,0.011282878516816064,0.0380864143371582,0.004524824517661405,MinMaxScaler(),RandomForestRegressor(),5,50,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 50}",-0.5492423255916397,-0.54331906936304,-0.5565245547139568,-0.5502691528539222,-0.5498387756306397,0.004683673477358421,148,0.660201517281195,0.6510394205082315,0.6470518224292168,0.6549120422477709,0.6533012006166036,0.004857457097596279,181,cycles,log
1.725928544998169,0.010679833103723453,0.03828096389770508,0.003707465776240335,MinMaxScaler(),RandomForestRegressor(),5,70,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 70}",-0.5501303823003968,-0.5446979512026151,-0.5652688704128191,-0.5509981326214913,-0.5527738341343307,0.007607344644955726,156,0.6595299770476192,0.6517790742093017,0.6409235619035683,0.658087347821729,0.6525799902455546,0.0073339466218691985,182,cycles,log
