mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessing,param_regressor,param_regressor__max_depth,param_regressor__min_samples_split,param_regressor__activation,param_regressor__alpha,param_regressor__hidden_layer_sizes,param_regressor__max_iter,params,split0_test_RMSLE,split1_test_RMSLE,split2_test_RMSLE,split3_test_RMSLE,mean_test_RMSLE,std_test_RMSLE,rank_test_RMSLE,split0_test_R-squared,split1_test_R-squared,split2_test_R-squared,split3_test_R-squared,mean_test_R-squared,std_test_R-squared,rank_test_R-squared,features_transform,target_transform
1.6865724325180054,0.015295838402161437,0.03891408443450928,0.0008829118112143503,MinMaxScaler(),RandomForestRegressor(),5,2,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 2}",-0.5664385717352229,-0.5610064270428775,-0.5801992998726291,-0.5651847699683956,-0.5682072671547813,0.007209797496324192,122,0.6624422973280737,0.6463291845555947,0.6491835350497432,0.6595684188913304,0.6543808589561855,0.006777521728959583,125,"[0,1]",sqrt
1.4981557130813599,0.018283986596500202,0.03837847709655762,0.006193597927022855,MinMaxScaler(),RandomForestRegressor(),5,4,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 4}",-0.5664848433848967,-0.5610267285499256,-0.578844120944926,-0.5661680360855218,-0.5681309322413175,0.006553714445442001,120,0.66263523249185,0.6485873493003331,0.6516729836641106,0.6604019951789284,0.6558243901588056,0.005851302788209608,117,"[0,1]",sqrt
1.4955318570137024,0.007056624019682795,0.040215373039245605,0.005171784342823058,MinMaxScaler(),RandomForestRegressor(),5,7,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 7}",-0.5645439740627811,-0.5609045661569686,-0.5798444557832643,-0.5665634280718531,-0.5679641060187168,0.0071526046810661496,119,0.6642731220825917,0.6483640628734693,0.6505341166196512,0.6593849201658704,0.6556390554353957,0.006472335871534639,119,"[0,1]",sqrt
1.495298981666565,0.009780644848145432,0.03633749485015869,0.0018234663057715241,MinMaxScaler(),RandomForestRegressor(),5,10,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 10}",-0.5664280772488491,-0.5599607215975063,-0.5800974015236412,-0.5663386192677319,-0.5682062049094321,0.00734911841773283,121,0.6630243245097122,0.6479710499536961,0.6500898395868905,0.6601700236971205,0.6553138094368549,0.006407824073958751,121,"[0,1]",sqrt
1.4727361798286438,0.016526801939595406,0.03756588697433472,0.0032135742577016403,MinMaxScaler(),RandomForestRegressor(),5,15,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 15}",-0.5649400719684239,-0.5602246029680542,-0.5797741531623495,-0.565694660492754,-0.5676583721478954,0.007302369361029609,117,0.6626403506876282,0.6482708007901758,0.6508969216864926,0.6605853704596181,0.6555983609059787,0.00612895897274106,120,"[0,1]",sqrt
1.4882012009620667,0.014150030595805396,0.03734385967254639,0.0015293633129760966,MinMaxScaler(),RandomForestRegressor(),5,20,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 20}",-0.5647625919744744,-0.562621112856285,-0.5781640420982476,-0.5659440744776137,-0.5678729553516553,0.006059770164503258,118,0.665576230925804,0.648213739812824,0.6495069025420388,0.6595751783033974,0.6557180128960161,0.007192951307341421,118,"[0,1]",sqrt
1.6077215671539307,0.02483019083443756,0.054338932037353516,0.011668349591511468,MinMaxScaler(),RandomForestRegressor(),5,30,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 30}",-0.5665550634235456,-0.5611375699142931,-0.5795200084666473,-0.5664127359760995,-0.5684063444451464,0.006777726892402428,123,0.6627023302765955,0.648216376210225,0.6500639621511224,0.660258549609241,0.6553103045617961,0.006264485241523786,122,"[0,1]",sqrt
1.889920711517334,0.018534203011824322,0.04611611366271973,0.004766585232988474,MinMaxScaler(),RandomForestRegressor(),5,40,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 40}",-0.5656497305254,-0.560363812775902,-0.5777999011974625,-0.5652661554395436,-0.5672698999845771,0.006426797557014608,116,0.6644906554736466,0.6498968222095407,0.6512585129460446,0.6593628240680101,0.6562522036743105,0.0059765346969626095,116,"[0,1]",sqrt
1.6609163880348206,0.03844761771509517,0.03665816783905029,0.0024731006103998958,MinMaxScaler(),RandomForestRegressor(),5,50,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 50}",-0.5661499460951046,-0.5620032315237942,-0.5797698200496211,-0.5684007479109332,-0.5690809363948632,0.0065840622061508185,124,0.6639440506020593,0.6487305180645426,0.6493228150840947,0.6588712107300141,0.6552171486201777,0.006448459736708486,123,"[0,1]",sqrt
1.4608198404312134,0.011958819759889192,0.034473955631256104,0.0009227636730345254,MinMaxScaler(),RandomForestRegressor(),5,70,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 70}",-0.5700146934358389,-0.5667448587033388,-0.5828653597485469,-0.5683308442017301,-0.5719889390223636,0.006385064791331242,125,0.6631720564240668,0.6484671104224338,0.6497443551959659,0.6579586615568631,0.6548355458998324,0.006035902010900872,124,"[0,1]",sqrt
