mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessing,param_regressor,param_regressor__max_depth,param_regressor__min_samples_split,param_regressor__n_neighbors,param_regressor__p,param_regressor__weights,param_regressor__activation,param_regressor__alpha,param_regressor__hidden_layer_sizes,param_regressor__max_iter,params,split0_test_RMSLE,split1_test_RMSLE,split2_test_RMSLE,split3_test_RMSLE,mean_test_RMSLE,std_test_RMSLE,rank_test_RMSLE,split0_test_R-squared,split1_test_R-squared,split2_test_R-squared,split3_test_R-squared,mean_test_R-squared,std_test_R-squared,rank_test_R-squared,features_transform,target_transform
1.7105780839920044,0.008693862981868675,0.04050558805465698,0.0035007608569508635,MinMaxScaler(),RandomForestRegressor(),5,2,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 2}",-0.5670908897049884,-0.5695059032662257,-0.5974433938411772,-0.570013323995141,-0.5760133777018831,0.012421797895228943,149,0.7136316999168704,0.7014872686004938,0.6893123546941582,0.7132722958977119,0.7044259047773086,0.010000753455394121,179,cycles,sqrt
1.7147063612937927,0.01188152688482183,0.0391535758972168,0.002505861463840973,MinMaxScaler(),RandomForestRegressor(),5,4,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 4}",-0.56764056322336,-0.5689129953171558,-0.5951770415150321,-0.5689799329172771,-0.5751776332432063,0.011558989287366084,144,0.7102170322413858,0.7030740287848777,0.6880788432967861,0.7132462059829212,0.7036540275764926,0.009721184093993574,181,cycles,sqrt
1.7067973017692566,0.0065965784940500245,0.03951466083526611,0.0038876573004673876,MinMaxScaler(),RandomForestRegressor(),5,7,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 7}",-0.5686631159034712,-0.5721271774692825,-0.5932315575986654,-0.5690201584620066,-0.5757605023583564,0.010176491921218982,147,0.7105983485617782,0.6999023012546429,0.6908793645002418,0.7119370168166346,0.7033292577833243,0.008568504392987038,186,cycles,sqrt
1.9493868350982666,0.014080723547190682,0.05587291717529297,0.010876775091671526,MinMaxScaler(),RandomForestRegressor(),5,10,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 10}",-0.5689350343303808,-0.5698260589846583,-0.5941469823459459,-0.5709064597833762,-0.5759536338610903,0.010527105591055186,148,0.7105395610948063,0.698170120329438,0.6915027978758976,0.7142757164391667,0.703622048934827,0.009191740552312486,182,cycles,sqrt
2.224741816520691,0.029659307900182647,0.04459017515182495,0.006666909484029181,MinMaxScaler(),RandomForestRegressor(),5,15,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 15}",-0.5678164552641989,-0.5707149254708833,-0.5943956356909937,-0.5723051846580904,-0.5763080502710416,0.010566147716052833,150,0.7092348897376162,0.7003830725022722,0.6873471732384562,0.7144857907078663,0.7028627315465528,0.010278389500149808,187,cycles,sqrt
1.741623878479004,0.009581639107718608,0.04081624746322632,0.004846187032477467,MinMaxScaler(),RandomForestRegressor(),5,20,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 20}",-0.5691557997914105,-0.5699895717201869,-0.5948470351368921,-0.5682066591580468,-0.5755497664516341,0.011159126069498416,146,0.7105351735990147,0.6979464001282621,0.6898893135850623,0.7130441254042363,0.7028537531791439,0.009420810921934116,188,cycles,sqrt
1.736546814441681,0.016813951661772894,0.03950369358062744,0.003838107622739389,MinMaxScaler(),RandomForestRegressor(),5,30,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 30}",-0.570282792682287,-0.5703310850219021,-0.594866057293122,-0.5707172224458499,-0.5765492893607902,0.010576531068941032,151,0.7105824475291392,0.7039367720132874,0.6854801242766088,0.7141564706010993,0.7035389536050337,0.011052398495573034,184,cycles,sqrt
1.700348436832428,0.008721912313436369,0.03922158479690552,0.002224167313575968,MinMaxScaler(),RandomForestRegressor(),5,40,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 40}",-0.5689456529688051,-0.5716435299396103,-0.5956539809455198,-0.573892421768015,-0.5775338964054876,0.010607216219434324,152,0.7118097848409964,0.703946236484358,0.6875194454974062,0.7115319521319059,0.7037018547386666,0.009861275868531631,180,cycles,sqrt
1.725452721118927,0.009796906931127112,0.03812241554260254,0.002403664312357263,MinMaxScaler(),RandomForestRegressor(),5,50,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 50}",-0.568853333619482,-0.5703775107607915,-0.592117337796589,-0.5695142817122494,-0.575215615972278,0.009773168776618473,145,0.7098704278296672,0.6990287295976232,0.6921160970859777,0.7126632438211127,0.7034196245835952,0.008278089329594224,185,cycles,sqrt
1.711592435836792,0.0074603562939296745,0.03655046224594116,0.00257807368804613,MinMaxScaler(),RandomForestRegressor(),5,70,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': RandomForestRegressor(), 'regressor__max_depth': 5, 'regressor__min_samples_split': 70}",-0.5701477233182375,-0.5737231628067202,-0.5976107673321275,-0.5724832388378611,-0.5784912230737366,0.011113069266712619,153,0.7087418910341667,0.7020152210638386,0.6920242894704939,0.7115414135274832,0.7035807037739956,0.007516851092442326,183,cycles,sqrt
