mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessing,param_regressor,param_regressor__alpha,param_regressor__C,param_regressor__gamma,param_regressor__kernel,param_regressor__max_iter,param_regressor__degree,param_regressor__activation,param_regressor__hidden_layer_sizes,params,split0_test_RMSLE,split1_test_RMSLE,split2_test_RMSLE,split3_test_RMSLE,mean_test_RMSLE,std_test_RMSLE,rank_test_RMSLE,split0_test_R-squared,split1_test_R-squared,split2_test_R-squared,split3_test_R-squared,mean_test_R-squared,std_test_R-squared,rank_test_R-squared,features_transform,target_transform
0.186933696269989,0.01815515599216643,0.054997384548187256,0.010120001062332282,MinMaxScaler(),LinearRegression(),,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': LinearRegression()}",-0.7384641835126655,-0.7188277524058958,-0.7217215113111317,-0.717473601576583,-0.724121762201569,0.008421562099966048,243,0.7285656466176835,0.737850220220198,0.7275236687220559,0.7498149863290644,0.7359386304722504,0.008963535845389576,232,binned,sqrt
0.1626509428024292,0.019297703472544787,0.025363385677337646,0.004195170204125633,StandardScaler(),Ridge(),0.5,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 0.5}",-0.7406860229886361,-0.7180432736697464,-0.715660197943951,-0.7158095390006057,-0.7225497584007348,0.010513433058265846,242,0.7303956540817151,0.7372314686619745,0.7279407181737199,0.7505598483300133,0.7365319223118557,0.00878542329376085,222,binned,sqrt
0.14249587059020996,0.029055864355156388,0.04100334644317627,0.015215201097853792,StandardScaler(),Ridge(),1,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 1}",-0.7406664810591275,-0.7180335280337566,-0.7156453231164425,-0.7157929094784247,-0.7225345604219378,0.010511152251875155,241,0.730387564013822,0.7372233736983933,0.7279321099213485,0.7505477722581373,0.7365227049729253,0.00878395877360851,223,binned,sqrt
0.17549610137939453,0.02049958215687,0.04175114631652832,0.007980730256060907,StandardScaler(),Ridge(),3,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 3}",-0.7405884758212243,-0.7179948345457347,-0.7155860330401883,-0.7157265899419977,-0.7224739833372862,0.010502009197929497,240,0.7303551111511088,0.7371908396479041,0.7278976338773068,0.7504994409629978,0.7364857564098294,0.00877811422018164,224,binned,sqrt
0.1727532148361206,0.01715035022215338,0.024501025676727295,0.0020588466454835967,StandardScaler(),Ridge(),7,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 7}",-0.7404332491971352,-0.7179187802272949,-0.7154684551225101,-0.7155949024380072,-0.7223538467462369,0.010483636701818028,239,0.7302897776186736,0.737125073814261,0.7278284801205592,0.7504026490869844,0.7364114951601195,0.008766486689766846,225,binned,sqrt
0.16299200057983398,0.026007296406935547,0.038005053997039795,0.008949783805241515,StandardScaler(),Ridge(),10,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 10}",-0.7403175197312982,-0.7178628457090225,-0.7153811465078362,-0.7154969678157014,-0.7222646199409646,0.010469791414135015,236,0.730240421638835,0.7370751852229116,0.7277764436489769,0.7503299424525396,0.7363554982408158,0.008757816222047379,228,binned,sqrt
0.19624942541122437,0.02312400116400868,0.04000091552734375,0.008093350384036371,StandardScaler(),Ridge(),20,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 20}",-0.7399360803076122,-0.7176826706693687,-0.7150955154068208,-0.7151756477188861,-0.7219724785256719,0.010423326858280879,234,0.730073882871821,0.7369058415892314,0.727601979550376,0.7500868934218599,0.736167149358322,0.00872918912787537,230,binned,sqrt
0.26324963569641113,0.08005206685432031,0.05724972486495972,0.019941943000338892,StandardScaler(),Ridge(),60,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 60}",-0.7384786367981572,-0.7170399842013833,-0.714035521328931,-0.7139621668672467,-0.7208790772989295,0.010236711369049474,228,0.7293825191794678,0.7361945870908762,0.7268900626401147,0.7491042240402841,0.7353928482376857,0.008617801777354753,236,binned,sqrt
0.2627573609352112,0.07266491577361386,0.03874838352203369,0.013215747685857768,StandardScaler(),Ridge(),100,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 100}",-0.737133429315778,-0.716493494911221,-0.7130987700261504,-0.7128506642841353,-0.7198940896343212,0.010056653100861358,224,0.7286598392621717,0.7354469760577174,0.7261577961724994,0.7481053870613176,0.7345924996384264,0.008509831639829277,238,binned,sqrt
0.14300018548965454,0.020806895981690138,0.026246845722198486,0.0023774120927504963,MinMaxScaler(),Ridge(),0.5,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': Ridge(), 'regressor__alpha': 0.5}",-0.740369941672381,-0.7179177652308233,-0.7154175908896121,-0.7155565472170298,-0.7223154612524615,0.010471001957943446,238,0.7302582697838265,0.7370797172877037,0.7278164471106567,0.7503269803933295,0.736370353643879,0.008743819432806145,227,binned,sqrt
0.13149809837341309,0.006687955073350929,0.03549844026565552,0.007760922113723751,MinMaxScaler(),Ridge(),1,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': Ridge(), 'regressor__alpha': 1}",-0.7400401583005378,-0.7177973107619505,-0.715183401863712,-0.7152968958060161,-0.7220794416830542,0.01042211927108763,235,0.7301092863355527,0.7369119561362094,0.7276533641189493,0.7500845473614182,0.7361897884880324,0.008709605296696737,229,binned,sqrt
