mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessing,param_regressor,param_regressor__alpha,param_regressor__C,param_regressor__gamma,param_regressor__kernel,param_regressor__max_iter,param_regressor__degree,param_regressor__activation,param_regressor__hidden_layer_sizes,params,split0_test_RMSLE,split1_test_RMSLE,split2_test_RMSLE,split3_test_RMSLE,mean_test_RMSLE,std_test_RMSLE,rank_test_RMSLE,split0_test_R-squared,split1_test_R-squared,split2_test_R-squared,split3_test_R-squared,mean_test_R-squared,std_test_R-squared,rank_test_R-squared,features_transform,target_transform
0.1751900315284729,0.005485199449926605,0.032832562923431396,0.013390640873395457,MinMaxScaler(),LinearRegression(),,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': LinearRegression()}",-0.5934978733132877,-0.5863089968615436,-0.5983962190497965,-0.5656962726950345,-0.5859748404799157,0.01247215539192895,231,0.7078659525712591,0.7142096948326759,0.6977544306406642,0.7527800043540092,0.7181525205996521,0.02083569090505948,206,binned,log
0.16043823957443237,0.011978922441874392,0.034433186054229736,0.007146840382436173,StandardScaler(),Ridge(),0.5,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 0.5}",-0.5933786356289215,-0.5862428474517064,-0.5898984927429911,-0.5655134500839213,-0.5837583564768851,0.010831670566231185,226,0.7079022423845538,0.7143873928393285,0.7001680928290754,0.7511730174118547,0.7184076863662031,0.019575346767200397,198,binned,log
0.15526127815246582,0.014749001892547473,0.028416156768798828,0.00668275049332827,StandardScaler(),Ridge(),1,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 1}",-0.593375815664424,-0.5862385063799997,-0.5898989348902344,-0.5655125408402536,-0.583756449443728,0.010831241176744607,225,0.7079005626965911,0.7143848549043352,0.700164783755866,0.7511609474254215,0.7184027871955534,0.019571422600536605,199,binned,log
0.16305792331695557,0.01150915623412516,0.026259541511535645,0.0039578868711766454,StandardScaler(),Ridge(),3,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 3}",-0.5933646369964977,-0.586221379486747,-0.5899008192462865,-0.5655090130368955,-0.5837489621916067,0.01082953299572963,224,0.7078937613978643,0.7143743026642956,0.7001515605942386,0.7511125953529942,0.7183830550023482,0.019555725348004926,200,binned,log
0.16118407249450684,0.02058508940071774,0.03442966938018799,0.00976530563480832,StandardScaler(),Ridge(),7,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 7}",-0.5933427670158637,-0.5861882133196653,-0.5899051334937928,-0.5655024777339659,-0.5837346478908219,0.010826158802174858,223,0.7078797344764938,0.7143513737023897,0.7001251289267671,0.7510155248964081,0.7183429405005146,0.019524329152677367,201,binned,log
0.1655767560005188,0.012407328179660114,0.029398083686828613,0.0049992276721402005,StandardScaler(),Ridge(),10,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 10}",-0.5933267926407279,-0.5861642340233473,-0.5899088354366177,-0.5654980274129616,-0.5837244723784135,0.010823661970637166,222,0.7078688121142931,0.7143326869121736,0.7001052642890628,0.7509423792429536,0.7183122856396208,0.019500781909500796,202,binned,log
0.18132233619689941,0.015391668931068466,0.03332042694091797,0.005991008240566791,StandardScaler(),Ridge(),20,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 20}",-0.5932762082610309,-0.5860893096283828,-0.5899239546385859,-0.5654859450122918,-0.5836938543850729,0.010815519226128514,218,0.707829615733802,0.7142621845704413,0.7000382652600646,0.7506962193965123,0.718206571240205,0.019422306578333617,204,binned,log
0.1565353274345398,0.0156289377335407,0.02124202251434326,0.0018962156147133485,StandardScaler(),Ridge(),60,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 60}",-0.5931149114234934,-0.5858511933531417,-0.5900239279483518,-0.5654785362867762,-0.5836171422529408,0.010784879842609642,216,0.7076213465645539,0.7138828529376424,0.6997419734818613,0.7496691163454865,0.717728822332386,0.019109301793874777,208,binned,log
0.13065022230148315,0.006633360480408427,0.027468502521514893,0.009123592925272156,StandardScaler(),Ridge(),100,,,,,,,,"{'preprocessing': StandardScaler(), 'regressor': Ridge(), 'regressor__alpha': 100}",-0.5930181431680637,-0.5856905791092236,-0.590181955456835,-0.5655336982166229,-0.5836060939876863,0.010756221350492208,215,0.7073207063836353,0.7133869678898843,0.6993782135871067,0.7485664647517531,0.7171630881530948,0.018798971968322562,210,binned,log
0.12351977825164795,0.013031456304728321,0.022731006145477295,0.001398395985873443,MinMaxScaler(),Ridge(),0.5,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': Ridge(), 'regressor__alpha': 0.5}",-0.5933146336664814,-0.586151876320289,-0.5899078428183838,-0.5654895213109995,-0.5837159685290384,0.010823708983006402,221,0.7078677514899053,0.7143009867082208,0.7000673703702738,0.7509097956659057,0.7182864760585764,0.01949776103353358,203,binned,log
0.12303179502487183,0.006271453438527893,0.022315502166748047,0.0015378234088924262,MinMaxScaler(),Ridge(),1,,,,,,,,"{'preprocessing': MinMaxScaler(), 'regressor': Ridge(), 'regressor__alpha': 1}",-0.5932538669439775,-0.5860692210778371,-0.5899214525310578,-0.5654706974516747,-0.5836788095011367,0.010815518121483032,217,0.7078247004629534,0.7141921004460904,0.6999678642468452,0.7506298959417723,0.7181536402744153,0.019415267364478198,205,binned,log
